project_id,service_line,team,project_manager,overbudget_yes,budget,building_region,nda,total_hours,emp_count,month_duration
a6b62fb1-aa11-e311-8c30-78e3b51146cf,Commissioning,SB,51,1,14546.28,SF,False,155.0,122.0,25.363970512741535
8329ac5a-71ba-e111-b5df-78e3b511a685,Commissioning,SB,51,1,18000.0,SF,False,139.25,91.0,31.40926918417216
7bb22527-7fba-e111-b5df-78e3b511a685,GPR,SB,37,1,9859.0,SF,False,129.0,90.0,32.98630362019754
470db96a-434a-e811-8120-e0071b66cf61,WELL,SB,82,1,157970.0,SF,True,1043.25,621.0,29.99650916856609
29cdfb16-4ea5-e711-8110-e0071b715b91,PM Ground Up,PM,37,1,186460.0,SF,False,1312.0,286.0,8.049446600546213
41ea2549-914a-e511-80e3-c4346bac0260,LEED,PM,37,0,12871.25,SF,False,70.75,47.0,44.51836793363314
773264cd-bb60-e511-80eb-c4346bacdbe8,LEED,PM,37,1,32105.0,SF,False,254.26000000000002,88.0,27.565247746360296
cac3c2d0-ca82-e711-811f-e0071b7458a1,LEED,PM,37,0,17387.0,SF,False,94.0,38.0,8.509414977720281
5cf060c4-1a70-e911-a977-000d3a37839b,LEED,SB,44,1,40543.8,SF,True,285.95,242.0,13.864761083389803
1508c883-5277-e911-a977-000d3a37839b,LEED,SB,39,1,35500.0,SF,False,244.0,123.0,48.55951867594817
5e47cb91-8070-e611-80ed-5065f38afa01,LEED,SB,58,1,96908.75,SF,True,612.75,344.0,48.98663216903838
a3b674a5-757b-e611-80ee-5065f38afa01,LEED,SB,24,1,14000.0,SF,False,145.5,60.0,24.96971190373519
2f46b26b-506a-e611-80ea-5065f38b5171,LEED,SB,89,1,25000.0,SF,False,199.5,116.0,22.209901640690774
de030c53-b6c7-e611-80f5-5065f38be0e1,LEED,SB,89,1,86650.0,SF,False,694.25,516.0,42.67849442493686
c5ae3039-29e4-e611-80f8-5065f38be0e1,LEED,SB,44,1,24800.0,DV,False,266.75,191.0,41.1671697570792
6d1fa5e9-a066-e411-ad1d-6c3be5a6aa7c,LEED,SB,24,0,53500.0,SF,True,219.5,123.0,16.131748085176287
91fb0d80-00e2-e311-9408-6c3be5a8b8b0,LEED,SB,24,0,33951.0,SF,False,177.88000000000002,99.0,46.91677447175507
13e1d901-0aab-e411-9578-6c3be5a8b8b0,LEED,SB,37,0,6508.11,SF,False,35.0,16.0,6.899525657611039
9120e512-0a1c-e411-b762-6c3be5a8b8b0,LEED,SB,57,1,36750.0,SF,False,316.0,157.0,29.273701718721124
ca7f9813-ac40-e211-8a15-78e3b51146cf,LEED,SB,40,0,2875.0,SF,False,18.5,10.0,3.0555042197991744
d323c6d1-fe25-e311-8b1c-78e3b51146cf,LEED,SB,24,0,38000.0,SF,False,119.75,49.0,7.589478223372143
561e5e88-7f3d-e311-8b1c-78e3b51146cf,LEED,SB,37,0,27250.0,SF,False,127.5,49.0,5.749604714675866
3e90e397-a611-e311-8c30-78e3b51146cf,LEED,SB,55,1,35560.0,SF,False,439.0,209.0,38.407359494034786
5729ac5a-71ba-e111-b5df-78e3b511a685,LEED,SB,37,0,22818.34,SF,False,42.199999999999996,34.0,12.024887574693526
8bb22527-7fba-e111-b5df-78e3b511a685,LEED,SB,24,1,40770.0,SF,False,373.51,209.0,17.74163740528553
e2aed577-fdc9-e111-8af8-78e3b511b601,LEED,SB,24,1,21625.0,SF,False,195.34,86.0,15.178956446744285
508bd530-fb35-e311-b7e1-78e3b511b601,LEED,SB,37,0,28500.0,SF,False,62.25,32.0,3.5483274810571057
0a704b79-90f9-e411-965d-a45d36fc0a08,LEED,SB,37,0,40274.09,SF,False,269.03999999999996,104.0,18.464444855130495
aba2a70a-a14a-e511-80e3-c4346bac0260,LEED,SB,58,0,54400.0,SF,False,40.5,16.0,12.484855951867594
fcbc3af9-6ada-e511-8104-c4346bac0260,LEED,SB,50,1,7725.0,SF,True,144.02,89.0,12.452001067783733
f4180a53-7998-e511-80f1-c4346bac4b64,LEED,SB,24,1,24000.0,SF,False,181.0,70.0,34.431918519887475
a9831b75-3bc9-e511-80f6-c4346bac4b64,LEED,SB,55,0,23140.0,SF,False,166.0,69.0,34.366208751719746
174f2535-dcca-e511-80f9-c4346bacb92c,LEED,SB,55,1,34250.0,SF,False,249.75,141.0,25.988213310334913
893c4485-4c46-e711-80ff-e0071b66cf61,LEED,SB,55,1,66500.0,SF,False,479.25,358.0,36.4032115649192
